id,handle,titulo,sku,familia,marca_titulo,compat_proveedor,diametro,anchura,pcd,et,buje,acabado,peso_valor,peso_unidad,precio,compare_at,coste,stock,politica_inv,inv_seguido,requiere_envio,variantes,imagenes,img_ancho,img_alto,img_url,img_alt,colecciones,tags,metafields,seo_title,seo_desc,estado,canales,creado,calidad_ficha,problemas
10898621235533,oyl260416001-18-mercedes-benz,Juego de 4 llantas 18 pulgadas Mercedes-Benz – OYL260416001,OYL260416001,wheel-design-001,mercedes-benz,BENZ S350,18,8.5,5x112,43,66.5,S,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,151,133,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-001_3f908267-4cb4-4168-9745-d7a3ef22acee.jpg,"Juego de llantas 18X8.5 Mercedes-Benz, referencia OYL260416001",llantas-18-pulgadas|llantas-mercedes-benz,5x112|color-s|et-43|llantas|llantas-18|mercedes-benz,11,"Llantas 18"" Mercedes-Benz | Juego de 4","Juego de 4 llantas 18X8.5, 5X112, ET +43, compatible de forma orientativa con BENZ S350. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:49Z,75,"imagen 151x133 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621301069,oyl260416002-18-volkswagen,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416002,OYL260416002,wheel-design-002,volkswagen,VWPassat,18,8.0,5x112,48,57.1,MB,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,167,248,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-002_fcbdccb0-ef30-4d52-9b3d-bc61acdce804.jpg,"Juego de llantas 18X8.0 Volkswagen, referencia OYL260416002",llantas-18-pulgadas|llantas-volkswagen,5x112|color-mb|et-48|llantas|llantas-18|volkswagen,11,"Llantas 18"" Volkswagen | Juego de 4","Juego de 4 llantas 18X8.0, 5X112, ET +48, compatible de forma orientativa con VWPassat. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:50Z,75,"imagen 167x248 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621399373,oyl260416003-17-audi,Juego de 4 llantas 17 pulgadas Audi – OYL260416003,OYL260416003,wheel-design-003,audi,AUDIA6L-2012,17,8.0,5x112,38,66.45,S,40.0,KILOGRAMS,699.00,,,0,CONTINUE,False,True,1,1,158,147,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-003_136ad086-5ea2-4262-8d3f-5f156292842f.jpg,"Juego de llantas 17X8.0 Audi, referencia OYL260416003",llantas-17-pulgadas|llantas-audi,5x112|audi|color-s|et-38|llantas|llantas-17,11,"Llantas 17"" Audi | Juego de 4","Juego de 4 llantas 17X8.0, 5X112, ET +38, compatible de forma orientativa con AUDIA6L-2012. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:50Z,75,"imagen 158x147 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621432141,oyl260416004-18-audi,Juego de 4 llantas 18 pulgadas Audi – OYL260416004,OYL260416004,wheel-design-004,audi,AUDIA6L,18,8.0,5x112,39,66.5,S,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,140,131,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-004_64ca8fe6-daaa-4e5c-a14a-fc3c62415755.jpg,"Juego de llantas 18X8.0 Audi, referencia OYL260416004",llantas-18-pulgadas|llantas-audi,5x112|audi|color-s|et-39|llantas|llantas-18,11,"Llantas 18"" Audi | Juego de 4","Juego de 4 llantas 18X8.0, 5X112, ET +39, compatible de forma orientativa con AUDIA6L. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:51Z,75,"imagen 140x131 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621530445,oyl260416005-16-volkswagen,Juego de 4 llantas 16 pulgadas Volkswagen – OYL260416005,OYL260416005,wheel-design-005,volkswagen,VWPassat领驭 2005,16,7.0,5x112,45,57.1,S,36.0,KILOGRAMS,649.00,,,0,CONTINUE,False,True,1,1,147,131,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-005_52ff5705-6c20-493d-992a-bd4e64c689bc.jpg,"Juego de llantas 16X7.0 Volkswagen, referencia OYL260416005",llantas-16-pulgadas|llantas-volkswagen,5x112|color-s|et-45|llantas|llantas-16|volkswagen,11,"Llantas 16"" Volkswagen | Juego de 4","Juego de 4 llantas 16X7.0, 5X112, ET +45, compatible de forma orientativa con VWPassat领驭 2005. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:52Z,60,"imagen 147x131 (por debajo de 800x800) · chino del proveedor visible en la descripción · chino del proveedor visible en la meta description · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621563213,oyl260416006-17-mercedes-benz,Juego de 4 llantas 17 pulgadas Mercedes-Benz – OYL260416006,OYL260416006,wheel-design-006,mercedes-benz,BENZ C200 2015,17,7.0,5x112,48,66.5,MG,40.0,KILOGRAMS,699.00,,,0,CONTINUE,False,True,1,1,138,138,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-006_9780313b-ec59-40b0-a82d-6cb2b8ff57e4.jpg,"Juego de llantas 17X7.0 Mercedes-Benz, referencia OYL260416006",llantas-17-pulgadas|llantas-mercedes-benz,5x112|color-mg|et-48.5|llantas|llantas-17|mercedes-benz,11,"Llantas 17"" Mercedes-Benz | Juego de 4","Juego de 4 llantas 17X7.0, 5X112, ET +48.5, compatible de forma orientativa con BENZ C200 2015. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:52Z,75,"imagen 138x138 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621628749,oyl260416007-18-volkswagen,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416007,OYL260416007,wheel-design-007,volkswagen,VWPassat 2016,18,8.0,5x112,48,57.1,MB,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,138,131,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-007_b9ad14ac-a1e2-44b7-baf2-9ea3344e4ec9.jpg,"Juego de llantas 18X8.0 Volkswagen, referencia OYL260416007",llantas-18-pulgadas|llantas-volkswagen,5x112|color-mb|et-48|llantas|llantas-18|volkswagen,11,"Llantas 18"" Volkswagen | Juego de 4","Juego de 4 llantas 18X8.0, 5X112, ET +48, compatible de forma orientativa con VWPassat 2016. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:53Z,75,"imagen 138x131 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621727053,oyl260416008-18-volkswagen,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416008,OYL260416008,wheel-design-008,volkswagen,VWMagotan2017,18,8.0,5x112,44,57.1,MB,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,133,126,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-008_841e3ce9-f642-4bb5-8e00-99e8abb50476.jpg,"Juego de llantas 18X8.0 Volkswagen, referencia OYL260416008",llantas-18-pulgadas|llantas-volkswagen,5x112|color-mb|et-44|llantas|llantas-18|volkswagen,11,"Llantas 18"" Volkswagen | Juego de 4","Juego de 4 llantas 18X8.0, 5X112, ET +44, compatible de forma orientativa con VWMagotan2017. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:54Z,75,"imagen 133x126 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621759821,oyl260416009-19-audi,Juego de 4 llantas 19 pulgadas Audi – OYL260416009,OYL260416009,wheel-design-009,audi,AUDIRS7 2016,19,8.5,5x112,35,66.45,MB,48.0,KILOGRAMS,899.00,,,0,CONTINUE,False,True,1,1,131,128,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-009_30f48c03-8f57-4f01-93a7-4d3054e9d0d1.jpg,"Juego de llantas 19X8.5 Audi, referencia OYL260416009",llantas-19-pulgadas|llantas-audi,5x112|audi|color-mb|et-35|llantas|llantas-19,11,"Llantas 19"" Audi | Juego de 4","Juego de 4 llantas 19X8.5, 5X112, ET +35, compatible de forma orientativa con AUDIRS7 2016. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:54Z,75,"imagen 131x128 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
10898621825357,oyl260416010-18-volkswagen,Juego de 4 llantas 18 pulgadas Volkswagen – OYL260416010,OYL260416010,wheel-design-010,volkswagen,VWPassat 2019,18,8.0,5x112,44,57.1,MB,44.0,KILOGRAMS,799.00,,,0,CONTINUE,False,True,1,1,128,123,https://cdn.shopify.com/s/files/1/0995/6920/5581/files/wheel-design-010_4da3b5ed-99e6-4b2c-80fb-8b0af91c14db.png,"Juego de llantas 18X8.0 Volkswagen, referencia OYL260416010",llantas-18-pulgadas|llantas-volkswagen,5x112|color-mb|et-44|llantas|llantas-18|volkswagen,11,"Llantas 18"" Volkswagen | Juego de 4","Juego de 4 llantas 18X8.0, 5X112, ET +44, compatible de forma orientativa con VWPassat 2019. Precio cerrado y entrega a domicilio.",DRAFT,ninguno,2026-09-18T16:17:55Z,75,"imagen 128x123 (por debajo de 800x800) · sin coste de proveedor registrado · precio = escalera fija por diámetro, no verificado como PVP · peso = escalera fija por diámetro, no medido · stock 0 sin seguimiento (venta continua)"
